Incident_Type,Report_Number,Reported,Occurred,Location,Location_Type,Crime_Type,Narrative,Disposition
Drugs,17-26012,10/25/17 21:59,10/25/2017 21:59 - 10/25/2017 21:59,George Jameson Hall,In dormitories or other residential facilities for students on campus,DR,Officer dispatched to take a report regarding the smell of marijuana on the 1st floor. Several individuals were issued warnings.,Closed
Alcohol Offense,17-26036,10/26/17 01:37,10/26/2017 01:37 - 10/26/2017 01:37,Low Rise 6,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Criminal Mischief,17-26038,10/26/17 02:23,10/26/2017 02:00 - 10/26/2017 02:23,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report regarding an unknown individual(s) emptied trash from garbage cans and broke exit signs in the lobby area.,Closed
Agency Assistance,17-26047,10/26/17 03:59,10/26/2017 03:59 - 10/26/2017 03:59,Ithaca College Public Safety,In or on a non-campus building or property,NA,Cornell University Police assisted the Ithaca College Public Safety Department with a reported found property.,Closed
Burglary,17-26050,10/26/17 07:57,10/26/2017 02:00 - 10/26/2017 02:01,Mews Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding an unknown individual(s) entering their secured room and taking a pair of Adidas sneakers. The sneakers were recovered intact.,Closed
Aggravated Harassment,17-26069,10/26/17 13:42,10/26/2017 13:42 - 10/26/2017 13:42,The Cornell Store,On campus,NA,Officer dispatched to take a report from a staff member that has received harassing emails and telephone messages from a known individual.,Closed
Larceny,17-26077,10/26/17 17:05,10/26/2017 17:05 - 10/26/2017 17:05,P&C Fresh,In or on a non-campus building or property,NA,Officer dispatched to take a report regarding a juvenile shoplifter. The individual was warned and released to their parent.,Closed
Trespass,17-26113,10/26/17 23:50,10/26/2017 23:50 - 10/26/2017 23:50,2 Forest Park Lane (former Psi Upsilon fraternity),In dormitories or other residential facilities for students on campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Criminal Mischief,17-26122,10/27/17 00:59,10/23/2017 07:00 - 10/27/2017 00:59,2 Forest Park Lane (former Psi Upsilon fraternity),In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report regarding an east side window broken by an unknown object.,Closed
Larceny,17-26148,10/27/17 07:13,10/26/2017 15:30 - 10/27/2017 07:00,2 Forest Park Lane (former Psi Upsilon fraternity),In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report regarding the theft of an eight foot ladder. The ladder was recovered intact.,Closed
Harassment,17-26168,10/27/17 12:16,10/27/2017 12:16 - 10/27/2017 12:16,Barton Hall,On campus,NA,Investigator dispatched to take a report from a student that was harassed by a known individual.,Exceptional Clearance
Trespass,17-26172,10/27/17 16:35,10/27/2017 16:35 - 10/27/2017 16:35,Ellis Hollow Creek Road,On campus,NA,Officer dispatched to take a report regarding a possible unauthorized individual hunting on Cornell owned property.,Closed
Alcohol Offense,17-26216,10/28/17 00:45,10/28/2017 00:45 - 10/28/2017 00:45,Thurston Avenue,On public property,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-26220,10/28/17 01:19,10/28/2017 01:19 - 10/28/2017 01:19,College Avenue,On public property,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-26224,10/28/17 01:41,10/28/2017 01:41 - 10/28/2017 01:41,Carl Becker House,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-26247,10/28/17 11:21,10/28/2017 11:21 - 10/28/2017 11:21,East Ithaca Rec. Trail,In or on a non-campus building or property,NA,Cornell University Police assisted the Tompkins County Sheriff's Department with a reported suspicious circumstance.,Closed
Agency Assistance,17-26271,10/28/17 23:28,10/28/2017 23:28 - 10/28/2017 23:28,730 University Avenue (Sigma Pi fraternity),In or on a non-campus building or property,NA,Cornell University Police assisted the Ithaca Police Department with a reported disorderly conduct complaint.,Closed
Alcohol Offense,17-26274,10/29/17 00:02,10/29/2017 00:02 - 10/29/2017 00:02,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Disorderly Conduct,17-26277,10/29/17 00:37,10/29/2017 00:37 - 10/29/2017 00:37,Mary Ann Wood Drive,On public property,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Violation Local Ordinance,17-26283,10/29/17 01:50,10/29/2017 01:50 - 10/29/2017 01:50,Eddy Gate,On public property,AL,"Pattison, Ian T., New York, NY was referred to Ithaca City Court.",Arrest 1
Agency Assistance,17-26284,10/29/17 01:52,10/29/2017 01:52 - 10/29/2017 01:52,800 University Avenue (Theta Delta Chi fraternity),In or on a non-campus building or property,NA,Cornell University Police assisted the Ithaca Police Department with a reported fight in progress compliant.,Closed
Alcohol Offense,17-26297,10/29/17 03:23,10/29/2017 03:23 - 10/29/2017 03:23,Cascadilla Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-26298,10/29/17 03:51,10/29/2017 03:51 - 10/29/2017 03:51,Robert Purcell Community Center,On campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-26405,10/30/17 15:30,10/29/2017 09:25 - 10/29/2017 15:00,Cascadilla Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding the theft of their secured mountain bicycle and combination bike lock. Value: $147.00,Closed
Agency Assistance,17-26414,10/30/17 18:01,10/30/2017 18:01 - 10/30/2017 18:01,University Avenue,On public property,NA,Cornell University Police assisted the Ithaca Police Department with a reported motor vehicle accident.,Closed
Criminal Mischief,17-26492,10/31/17 10:38,10/30/2017 20:00 - 10/31/2017 10:00,534 Thurston Avenue (Zeta Psi fraternity),In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding an unknown individual(s) spray painting graffiti on the south exterior wall.,Closed
Larceny,17-26499,10/31/17 15:29,10/31/2017 15:29 - 10/31/2017 15:29,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Trespass,17-26501,10/31/17 16:10,10/31/2017 16:10 - 10/31/2017 16:10,Biotech,On campus,NA,Officer dispatched to take a report from a staff member regarding a known unaffiliated individual in the building. The individual was warned and escorted out of the building.,Closed
Trespass,17-26580,11/1/17 14:33,11/01/2017 14:33 - 11/01/2017 14:33,Bradfield Hall,On campus,NA,Officer dispatched to take a report from a staff member regarding a known unaffiliated individual in the building. The individual was warned and escorted out of the building.,Closed
Larceny,17-26582,11/1/17 15:44,11/01/2017 15:44 - 11/01/2017 15:44,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-26661,11/2/17 10:14,10/30/2017 00:01 - 10/30/2017 00:01,Holland International Living Center,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding an e-bay theft. Computers were bought and shipped to an individual that has not followed through with the payment. Value: $1400.00,Closed
Criminal Mischief,17-26673,11/2/17 11:48,11/02/2017 11:48 - 11/02/2017 11:48,Malott Hall,On campus,NA,Officer dispatched to take a report from a staff member regarding a paper towel dispenser in a second floor men's room damaged by an unknown individual(s).,Closed
Larceny,17-26675,11/2/17 12:03,11/02/2017 12:03 - 11/02/2017 12:03,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Criminal Mischief,17-26737,11/3/17 08:17,11/03/2017 08:17 - 11/03/2017 08:17,Botanic Gardens,On campus,NA,Officer dispatched to take a report regarding the overlook bell lying in a tree branch near the bells support beam. The bells fastener was damaged by an unknown individual(s).,Closed
Criminal Mischief,17-26758,11/3/17 14:38,11/01/2017 18:00 - 11/03/2017 14:38,Stewart Avenue,On public property,NA,Officer dispatched to take a report from a student regarding the passenger side window on their parked vehicle damaged by an unknown individual(s).,Closed
Alcohol Offense,17-26782,11/3/17 23:27,11/03/2017 23:27 - 11/03/2017 23:27,Clara Dickson Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator,Arrest 3
Alcohol Offense,17-26789,11/4/17 00:29,11/04/2017 00:29 - 11/04/2017 00:29,13 South Avenue,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-26795,11/4/17 01:22,11/04/2017 01:22 - 11/04/2017 01:22,Eddy Gate,On public property,NA,Cornell University Police assisted the Ithaca Police Department with a medical emergency.,Closed
Traffic Violation,17-26803,11/4/17 02:14,11/04/2017 02:14 - 11/04/2017 02:14,Jessup Road,On public property,NA,"Taylor, Robert L., Groton, NY was referred to Ithaca City Court.",Closed
Alcohol Offense,17-26805,11/4/17 02:54,11/04/2017 02:54 - 11/04/2017 02:54,Cascadilla Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-26833,11/4/17 17:23,11/04/2017 17:23 - 11/04/2017 17:23,Ellis Hollow Road,On public property,NA,Cornell University Police assisted the Tompkins County Sheriff's Department with a reported verbal altercation between several people.,Closed
Larceny,17-26996,11/6/17 12:12,10/14/2017 13:55 - 10/16/2017 10:16,Bard Hall,On campus,NA,Officer dispatched to take a report from a staff member regarding an unknown individual(s) making unauthorized long distance telephone calls from an University owned telephone.,Closed
Burglary,17-26997,11/6/17 12:41,10/01/2017 00:01 - 10/31/2017 00:01,Hans Bethe House,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding the theft of cash from their secured room. Value: $600.00,Closed
Drugs,17-27029,11/6/17 23:09,11/06/2017 23:09 - 11/06/2017 23:09,Mews Hall,In dormitories or other residential facilities for students on campus,DR,Two individuals have been referred to the Judicial Administrator.,Arrest 3
Larceny,17-27106,11/7/17 18:35,10/31/2017 14:55 - 10/31/2017 17:00,Myron Taylor Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of an Apple Ipad Air II and Bose QC 45 headphones from their unsecured backpack. Value: $950.00,Closed
Larceny,17-27110,11/7/17 20:13,11/02/2017 00:01 - 11/07/2017 20:07,Statler Hotel,On campus,NA,Officer dispatched to take a report from a staff member regarding unknown individuals calling the switchboard operator and requesting to be transferred to unknown telephone numbers.,Closed
Alcohol Offense,17-27164,11/8/17 03:38,11/08/2017 03:38 - 11/08/2017 03:38,Clara Dickson Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Criminal Mischief,17-27171,11/8/17 05:18,11/07/2017 16:00 - 11/07/2017 04:15,Olin Library,On campus,NA,Officer dispatched to take a report from a staff member regarding an unknown individual(s) writing graffiti on a bathroom door in the men's basement bathroom.,Closed
Criminal Mischief,17-27172,11/8/17 05:47,10/25/2017 00:01 - 10/25/2017 23:00,Olin Library,On campus,NA,Officer dispatched to take a report from a staff member regarding an unknown individual(s) writing graffiti on a bathroom door in the men's basement bathroom.,Closed
Burglary,17-27206,11/8/17 17:43,10/25/2017 09:30 - 10/26/2017 23:00,McFadden Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding the theft of a pair of Nike Air Max sneakers from their secured room. Value: $130.00,Pending
Criminal Mischief,17-27289,11/9/17 11:45,10/31/2017 16:45 - 10/31/2017 16:45,Parking Garage,On campus,NA,Officer dispatched to take a report from a staff member regarding an unknown individual purposely opening their parked vehicle door while hitting another parked vehicles door.,Closed
Fraud,17-27355,11/10/17 00:36,11/09/2017 09:30 - 11/09/2017 16:30,Court Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding that was a victim in an IRS telephone scam. Value: $2400.00,Closed
Alcohol Offense,17-27360,11/10/17 01:32,11/10/2017 01:32 - 11/10/2017 01:32,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Harassment,17-27393,11/10/17 13:02,11/10/2017 13:02 - 11/10/2017 13:02,Performing Arts Center,On campus,AL,Investigator dispatched to take a report from a student that was physically harassed by a known individual.,Exceptional Clearance
Larceny,17-27485,11/11/17 12:03,11/11/2017 09:30 - 11/11/2017 12:00,Teagle Hall,On campus,NA,"Officer dispatched to take a report from a student regarding the theft of bankcards, MA driver's license, CUID and an insurance card from their unsecured backpack in the men's locker room. Value: $5.00",Pending
Larceny,17-27486,11/11/17 12:19,11/11/2017 09:30 - 11/11/2017 12:00,Teagle Hall,On campus,NA,"Officer dispatched to take a report from a student regarding the theft of their iPhone 6s, CUID and bankcard from their unsecured backpack in the men's locker room. Value: $702.00",Pending
Larceny,17-27489,11/11/17 14:37,11/11/2017 14:37 - 11/11/2017 14:37,Helen Newman Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of their unsecured backpack and contents. The backpack was recovered intact. Value: $5.00,Unfounded
Alcohol Offense,17-27551,11/12/17 01:19,11/12/2017 01:19 - 11/12/2017 01:19,Townhouse D,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-27573,11/12/17 11:05,11/12/2017 08:00 - 11/12/2017 11:00,Bartels Hall,On campus,NA,"Officer dispatched to take a report from several students regarding the theft of cash, gold necklaces (2), Apple chargers (2), Beats headphones (5), HP Spectre X360 computer, Apple watch and a Beats speaker from the secured woman's locker room. Value: $2270.00",Pending
Harassment,17-27591,11/12/17 19:43,11/12/2017 19:43 - 11/12/2017 19:43,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a staff member regarding a noise device that was found in a secured room. These devices have been located in various places on campus.,Closed
Larceny,17-27670,11/13/17 11:53,11/12/2017 16:30 - 11/12/2017 17:10,Barton Hall,On campus,NA,Officer dispatched to take a report from a staff member regarding the theft of three unsecured tables and eight chairs from the ground floor. Value: $700.00,Pending
Trespass,17-27692,11/13/17 18:44,11/13/2017 18:44 - 11/13/2017 18:44,Oxley Equestrian Center,On campus,NA,Officer dispatched to take a report regarding an unaffiliated individual acting in a disorderly manner near the entrance door. The individual was issued a Person-non-grata and released.,Closed
Larceny,17-27767,11/14/17 09:46,11/11/2017 00:01 - 11/14/2017 00:01,Bartels Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of a secured Fossil watch from the woman's volleyball locker room. Value: $150.00 The watch was recovered intact.,Closed
Larceny,17-27769,11/14/17 10:00,11/11/2017 17:00 - 11/13/2017 19:00,Bartels Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of a secured Bose speaker from the woman's volleyball locker room. Value: $350.00,Pending
Larceny,17-27789,11/14/17 15:12,11/14/2017 15:12 - 11/14/2017 15:12,Appel Commons,On campus,NA,Officer dispatched to take a report from a staff member regarding the theft of copper pipes from the boiler room. Value: $41.00,Pending
Larceny,17-27791,11/14/17 15:40,11/11/2017 19:30 - 11/14/2017 13:00,Bartels Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of secured cash from the woman's volleyball locker room. Value: $20.00,Pending
Threatening,17-27795,11/14/17 17:22,10/24/2017 00:01 - 10/24/2017 23:59,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding an unknown individual(s) writing a threatening message on a dry erase board.,Pending
Criminal Tampering,,,8/16/17,Forest Home Parking Garage,,,Officer dispatched to take a report staff regarding the removal of a vehicle wheel boot form a parked vehicle,
Agency Assistance,,,8/16/17,A-Lot Parking Area,,,Cornell University Police Department assisted Cayuga Heights Police Department with a reported criminal mischief complaint,
Violation Local Ordinance,,,8/17/17,Eddy Gate,,,"Gebhardt, James T., Ithaca, NY was referred to Ithaca City Court.",
Traffic Violation,,,8/17/17,Ithaca Road,,,"Karmon, Foster D., Dryden, was referred to Ithaca City Court.",
Agency Assistance,,,8/17/17,College Avenue ,,,Cornell University Police assisted Ithaca Police Department with reported intoxicated individual complaint,
Agency Assistance,,,8/17/17,North Quarry Street,,,Cornell University Police assisted Ithaca Police Department with reported intoxicated individual complaint,
Agency Assistance,,,8/18/17,Eddy Street ,,,Cornell University Police assisted Ithaca Police Department with reported larceny complaint,
Agency Assistance,,,8/18/17,Eddy Street ,,,Cornell University Police assisted Ithaca Police Department with reported criminal impersonation complaint,
Disorderly Conduct,,,8/19/17,Cascadilla Hall,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,8/19/17,College Avenue ,,,Two individuals have been referred to the Judicial Administrator,
Agency Assistance,,,8/19/17,College Avenue ,,,Cornell University Police assisted Ithaca Police Department with reported harassment complaint,
Alcohol Offense,,,8/19/17,Cascadilla Hall,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,8/19/17,Buffalo Street,,,Cornell University Police assisted Ithaca Police Department with a reported medical emergency,
Agency Assistance,,,8/19/17,Elmwood Avenue,,,Cornell University Police assisted Ithaca Police Department with a reported medical emergency,
Traffic Violation,,,8/19/17,Dryden Road,,,"Graham, Andrew W., New Brunswick, CA was referred to Ithaca Town Court",
Violation Local Ordinance,,,8/19/17,Eddy Gate,,,"Real Jacqueline N., Ithaca, NY was referred to Ithaca City Court.",
Violation Local Ordinance,,,8/19/17,Stewart-Williams Parking Lot,,,An individual eligible for youthful offender status has been referred to Ithaca Town Court,
Alcohol Offense,,,8/19/17,Eddy Gate,,,An individual has been referred to the Judicial Administrator.,
Violation Local Ordinance,,,8/19/17,College Avenue ,,,An individual eligible for youthful offender status has been referred to Ithaca Town Court,
Violation Local Ordinance,,,8/19/17,College Avenue ,,,An individual eligible for youthful offender status has been referred to Ithaca Town Court,
Violation Local Ordinance,,,8/19/17,College Avenue ,,,"Quinn-Seymour, Nathaniel, Ithaca, NY was referred to Ithaca City Court",
Agency Assistance,,,8/19/17,Wyckoff Avenuenue,,,Cornell University Police assisted Ithaca Police Department with reported noise complaint,
Alcohol Offense,,,8/20/17,Anna Comstock Hall,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,8/20/17,Thurston Avenue,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,8/20/17,College Avenue ,,,Cornell University Police assisted Ithaca Police Department with reported medical emergency,
Agency Assistance,,,8/20/17,Eddy Street ,,,Cornell University Police assisted Ithaca Police Department with an open container complaint,
Alcohol Offense,,,8/20/17,College Avenue ,,,An individual has been referred to the Judicial Administrator.,
Violation Local Ordinance,,,8/20/17,College Avenue ,,,"Lam, Tasha K., Ithaca, NY was referred to Ithaca City Court.",
Alcohol Offense,,,8/20/17,Eddy Gate,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,8/20/17,1 Forest Park Lane (former Sigma Phi Epsilon fraternity,,,An individual has been referred to the Judicial Administrator.,
Public Lewdness,,,8/20/17,Helen Newman Parking Area,,,Sergeant dispatched to take report regarding two individuals acting in a lewd manner. The inviduals were warned and released,
Larceny,,,8/20/17,534 Thurston Avenue (Zeta Psi fraternity),,,Officer dispatched to take a report regarding the theft of Escort radar detector and five dollars in change,
Trespass,,,8/20/17,Beebe Lake Off Limits Gorge Area,,,An individual eligible for youthful offender status has been referred to Ithaca Town Court,
Violation Local Ordinance,,,8/20/17,Stewart-Williams Parking Lot,,,"Hadfield, Jack P., Ithaca, NY was referred to Ithaca City Court.",
Drugs,,,8/20/17,112 Sage Place,,,An individual has been referred to the Judicial Administrator.,
Violation Local Ordinance,,,8/20/17,College Avenue ,,,"Coyle, Brendan R., New York, NY was referred to Ithaca City Court.",
Agency Assistance,,,8/20/17,College Avenue ,,,Cornell University Police assisted Ithaca Police Department with an open container complaint,
Violation Local Ordinance,,,8/20/17,Eddy Gate,,,An individual eligible for youthful offender status has been referred to Ithaca Town Court.,
Agency Assistance,,,8/20/17,Thurston Avenue,,,Cornell University Police assisted Ithaca Police Department with a reported noise complaint,
Violation Campus Code,,,8/20/17,Eddy Gate,,,An individual has been referred to the Judicial Administrator.,
Violation Local Ordinance,,,8/20/17,Eddy Gate,,,An individual eligible for youthful offender status has been referred to Ithaca Town Court.,
Agency Assistance,,,8/20/17,205 Eddy Street,,,Cornell University Police assisted Ithaca Police Department with a reported noise complaint,
Agency Assistance,,,8/20/17,106 College Avenue,,,Cornell University Police assisted Ithaca Police Department  with reported medical emergency,
Exposure of a Person,,,8/21/17,Eddy Gate,,,"Hashweh, Nadar N., Ithaca, NY was referred to Ithaca City Court.",
Agency Assistance,,,8/21/17,Thurston Avenue,,,Cornell University Police assisted Ithaca Police Department with reported medical emergency,
Exposure of a Person,,,8/21/17,Ho Plaza ,,,An individual eligible for youthful offender status has been referred to Ithaca Town Court,
Alcohol Offense,,,8/21/17,Cascadilla Hall,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,8/21/17,College Avenue ,,,Cornell University Police assisted Ithaca Police Department with an open container complaint,
Alcohol Offense,,,8/21/17,Flora Rose House,,,An individual has been referred to the Judicial Administrator.,
Drugs,,,8/21/17,Judd Falls Road,,,"Barrett, Cody J., Candor, NY was referred to Ithaca Town Court",
Agency Assistance,,,8/21/17,Barton Hall,,,Cornell University Police assisted Ithaca Police Department with suspicious circumstance complaint,
Harassment,,,8/22/17,Robert Purcell Community Center,,,Officer dispatched to take a report staff member that was being verbally harassed by an unknown individual,
Larceny,,,8/22/17,Balch Hall,,,Officer dispatched to take a report from student regarding theft of their unsecured MacBook Pro laptop,
Larceny,,,8/22/17,Rockefeller Hall,,,Officer dispatched to take a report from student regarding  unsecured cell phone,
Larceny,,,8/22/17,Ives Hall,,,Officer dispatched to take a report from student regarding  secured bicycle from the bicycle rack on --,
Agency Assistance,,,8/24/17,Catherine Street,,,Cornell University Police assisted Ithaca Police Department with a crowd control complaint,
Exposure of a Person,,,8/24/17,Eddy Gate,,,"Schutz, Patrick M., New York, NY, was referred to Ithaca City Court",
Larceny,,,8/24/17,Cascadilla Hall Bike Rack,,,Officer dispatched to take a report student regarding theft of their secured rallye Decsent bicycle. The ----,
Larceny,,,8/24/17,Ives hall,,,Officer dispatched to take a report from student regarding theft of unsecured wallet and contents,
Agency Assistance,,,8/24/17,Ringwood Road,,,Cornell University Police assisted Tompkins County Sheriff's Department with a reported larceny complaint,
Larceny,,,8/24/17,Cascadilla Hall Bike Rack,,,Officer dispatched to take a report from student regarding theft of a specialized XC bicycle. The bicyle was later returned intact,
Agency Assistance,,,8/24/17,College Avenue ,,,Cornell University Police assisted Ithaca Police Department with reported noise complaint,
Violation Local Ordinance,,,8/24/17,College Avenue ,,,"Faciolince, John, Ithaca, NY was referred to Ithaca City Court",
Agency Assistance,,,8/24/17,College Avenue ,,,Cornell University Police assisted Ithaca Police Department with reported medical emergency,
Agency Assistance,,,8/25/17,Eddy Street ,,,Cornell University Police assisted Ithaca Police Department with reported harassment complaint,
Agency Assistance,,,8/25/17,305 Thurston Avenue,,,Cornell University Police assisted Ithaca Police Department with a reported noise complaint,
Exposure of a Person,,,8/25/17,Cascadilla Hall exterior,,,"Strouse, Jacob A., Ithaca, NY was referred to Ithaca City Court",
Larceny,,,8/25/17,Upson Hall,,,Officer dispatched to take a report regarding the theft of an unsecured Samsung 75-inch television. Value: $5000.00,
Agency Assistance,,,8/25/17,Mirabito Station,,,Cornell University Polce assisted Tompkins County Sheriff's Department with a reported alarm activation,
Exposure of a Person,,,8/26/17,Mary Anne Wood Road,,,"Simonetti, Thomas M., Ithaca, NY was referred to Ithaca city court",
Agency Assistance,,,8/26/17,Eddy Street ,,,Cornell University Police assisted Ithaca Police Department with a reported public urination complaint,
Alcohol Offense,,,8/26/17,Sheldon Court,,,An individual has been referred to the Judicial Administrator.,
Drugs,,,8/26/17,Beebe Lake Gorge Trail,,,An individual eligible for youthful offender status has been referred to Ithaca Town Court,
Agency Assistance,,,8/26/17,Barton Hall,,,Cornell University Police assisted N.Y. State Police Department Police Department with a found property report,
Exposure of a Person,,,8/26/17,Libe Slope,,,"Mandell, Zachary J., Ithaca, NY referred to Ithaca City Court",
Agency Assistance,,,8/26/17,Stewart Avenue,,,Cornell University Police assisted Tompkins County Sheriff's Department with a reported harassment complaint,
Exposure of a Person,,,8/26/17,Olin Hall,,,"Viret, Julian E. Ithaca, NY was referred to Ithaca City Court.",
Drugs,,,8/27/17,Appel Commons,,,"Ruiz, Elijah B., Illinois was referred to Ithaca Town Court",
Alcohol Offense,,,8/27/17,Balch Hall,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,8/27/17,Mary Donlon Hall,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,8/27/17,Risley Hall,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,8/27/17,Barton Hall,,,Cornell University Police assisted Tompkins County Sheriff's Department with a warrant,
Unlawful Imprisonment,,,8/27/17,Cascadilla Hall,,,Officer dispatched to take a report from student regarding unlawful imprisonment with a known individual,
Agency Assistance,,,8/27/17,Stewart Avenue,,,Cornell University Police assisted Ithaca Police Department  with reported criminal mischief complaint,
Larceny,,,8/28/17,Kennedy Hall,,,Officer dispatched to take a report from staff member regarding theft of an unsecured Apple iPhone 5. Value $500.00,
Larceny,,,8/28/17,Malott Hall bike rack,,,Officer dispatched to take a report from staff member of student regarding theft of their secured Kent KRZ mountain bicycle. The bike was later returned intact.,
Drugs,,,8/28/17,Townhouse H,,,Three individuals have been referred to the Judicial Administrator,
Larceny,,,8/29/17,MVR Hall,,,Officer dispatched to take a report from staff member regarding theft of an unsecured Barco CSC Wireless Presentation,
Larceny,,,8/29/17,P&C Fresh,,,"Tunison, Robin L., Ithaca, NY was referred to Ithaca Town Court",
Larceny,,,8/29/17,Keeton House,,,Officer dispatched to take a report student regarding theft of cash from their unsecured wallet. Value: $100.00,
Drugs,,,8/30/17,Baker Tower,,,An individual has been referred to the Judicial Administrator.,
Larceny,,,8/31/17,Hans Bethe House Parking Area,,,Officer dispatched to take a report student regarding theft of their Canon 6D camera and case from their unsecured --,
Larceny,,,9/1/17,Malott Hall,,,Officer dispatched to take a report from student regarding theft of their unsecured iPhone 5C. The phone was later returned intact.,
Agency Assistance,,,9/2/17,125 Edgemoor,,,Cornell University Police assisted Ithaca Police Department with reported medical emergency,
Alcohol Offense,,,9/2/17,Mews,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,9/2/17,Sheldon Court,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,9/2/17,Eddy Street ,,,Cornell University Police assisted Ithaca Police Department with reported medical emergency,
Larceny,,,9/2/17,Keeton House,,,Officer dispatched to take a report from student regarding theft of cash from their wallet. Value: $300,
Agency Assistance,,,9/2/17,College Avenue ,,,Cornell University Police assisted Ithaca Police Department with suspicious circumstance complaint,
Trespass,,,9/2/17,Baker South,,,Officer dispatched to take a report student regarding unknown male individual possibly attempting to open a ground - ,
Alcohol Offense,,,9/3/17,Ho Plaza ,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,9/3/17,College Avenue ,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,9/3/17,800 University Avenue,,,Cornell University Polce assisted Bangs Ambulance with a medical emergency,
Alcohol Offense,,,9/3/17,Balch Hall,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,9/3/17,Kay Hall,,,An individual has been referred to the Judicial Administrator.,
Drugs,,,9/3/17,Mary Donlon,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,9/4/17,University Avenue,,,Two individuals have been referred to the Judicial Administrator,
Alcohol Offense,,,9/4/17,Olive Tjaden Hall,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,9/4/17,777 Stewart Avenue,,,Cornell University Police assisted Ithaca Police Department with reported medical emergency,
Alcohol Offense,,,9/4/17,Keeton House,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,9/4/17,Balch Hall,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,9/4/17,Barton Hall,,,Cornell University Police assisted Ithaca Police Department with a larceny complaint,
Agency Assistance,,,9/4/17,Barton Hall,,,Cornell University Police assisted Ithaca Police Department with a reported impersonation complaint,
